A1,A2,A3,a1,a2,a3,B1,B2,b1,b2,C1,C2,c1,c2
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,0,1.0,0,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.1,3.9
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.2,3.8
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.3,3.7
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.4,3.6
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.5,3.5
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.6,3.4
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.7,3.3
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.8,3.2
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,0.9,3.1
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.0,3.0
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.1,2.9
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.2,2.8
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.3,2.7
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.4,2.6
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.5,2.5
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.6,2.4
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.7,2.3
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.8,2.2
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,1.9,2.1
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.0,2.0
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.1,1.9
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.2,1.8
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.3,1.7
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.4,1.6
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.5,1.5
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.6,1.4
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.7,1.3
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.8,1.2
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,2.9,1.1
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.0,1.0
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.1,0.9
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.2,0.8
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.3,0.7
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.4,0.6
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.5,0.5
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.6,0.4
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.7,0.3
K,0,0,1.0,0,0,Pb,0,1.0,0,Cl,Br,3.8,0.2
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,0,4.0,0
K,0,0,1.0,0,0,Sn,0,1.0,0,Br,0,4.0,0
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.1,3.9
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.2,3.8
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.3,3.7
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.4,3.6
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.5,3.5
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.6,3.4
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.7,3.3
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.8,3.2
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,0.9,3.1
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.0,3.0
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.1,2.9
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.2,2.8
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.3,2.7
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.4,2.6
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.5,2.5
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.6,2.4
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.7,2.3
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.8,2.2
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,1.9,2.1
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.0,2.0
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.1,1.9
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.2,1.8
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.3,1.7
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.4,1.6
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.5,1.5
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.6,1.4
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.7,1.3
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.8,1.2
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,2.9,1.1
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.0,1.0
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.1,0.9
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.2,0.8
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.3,0.7
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.4,0.6
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.5,0.5
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.6,0.4
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.7,0.3
K,0,0,1.0,0,0,Sn,0,1.0,0,Cl,Br,3.8,0.2
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.2,0.8,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.3,0.7,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.4,0.6,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.5,0.5,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.6,0.4,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.7,0.3,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.8,0.2,Cl,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.2,0.8,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.3,0.7,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.4,0.6,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.5,0.5,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.6,0.4,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.7,0.3,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.8,0.2,Br,0,4.0,0
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.1,3.9
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.2,3.8
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.3,3.7
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.4,3.6
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.5,3.5
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.6,3.4
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.7,3.3
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.8,3.2
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,0.9,3.1
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.0,3.0
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.1,2.9
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.2,2.8
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.3,2.7
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.4,2.6
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.5,2.5
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.6,2.4
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.7,2.3
K,0,0,1.0,0,0,Pb,Sn,0.1,0.9,Cl,Br,1.8,2.2
